Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Z-score,Combined Score,Genes
Allele_LoF_Phenotypes_from_FlyBase_2017,rhabdomere R6,1/7,0.0159917172451447,0.0634677993330276,0.0575379156659544,0.2575957713514395,-3.523552990271934,14.572303003926168,ninaE
Allele_LoF_Phenotypes_from_FlyBase_2017,rhabdomere R1,1/7,0.0159917172451447,0.0634677993330276,0.0575379156659544,0.2575957713514395,-3.517145778579055,14.54580479871776,ninaE
Allele_LoF_Phenotypes_from_FlyBase_2017,embryonic/larval spiracle,1/7,0.0159917172451447,0.0634677993330276,0.0575379156659544,0.2575957713514395,-3.498572937660525,14.468993390955264,nkd
Allele_LoF_Phenotypes_from_FlyBase_2017,embryonic heart cardioblast,1/6,0.013722598485558,0.0620500105433928,0.0505200201628077,0.2575957713514395,-3.344663671480645,14.344296817779236,Mmp2
Allele_LoF_Phenotypes_from_FlyBase_2017,segmental nerve branch SNa of A1-7,1/9,0.0205146440903754,0.0646522116787589,0.0714275013461394,0.2575957713514395,-3.4738234980299465,13.501419037676932,Mmp2
Allele_LoF_Phenotypes_from_FlyBase_2017,anterior dorsocentral bristle,1/8,0.0182557286992226,0.0634677993330276,0.0645069697911918,0.2575957713514395,-3.343126839925241,13.383460602902709,Bx
Allele_LoF_Phenotypes_from_FlyBase_2017,vMP2 neuron,1/11,0.025017231520203,0.0650448019525279,0.085124262273354,0.2575957713514395,-3.6185559662158666,13.34592348768346,Fas2
Allele_LoF_Phenotypes_from_FlyBase_2017,embryonic stage,6/364,0.0001766981467519,0.0043400495557006,0.0421247340231047,0.2575957713514395,-1.4459509313646015,12.494559840791316,fkh;SoxN;Mmp2;nkd;Fas3;Fas2
Allele_LoF_Phenotypes_from_FlyBase_2017,optomotor response defective,1/10,0.0227684746329305,0.0650448019525279,0.0782998271957656,0.2575957713514395,-3.2979297403822927,12.474018186245132,ninaE
Allele_LoF_Phenotypes_from_FlyBase_2017,embryonic primordium of adult salivary gland,1/10,0.0227684746329305,0.0650448019525279,0.0782998271957656,0.2575957713514395,-3.2805558804247408,12.408303673767175,fkh
Allele_LoF_Phenotypes_from_FlyBase_2017,neuroblast MP2,1/5,0.0114483611573847,0.0620500105433928,0.0434529625194811,0.2575957713514395,-2.746418227675481,12.276238701122432,SoxN
Allele_LoF_Phenotypes_from_FlyBase_2017,MP1 neuron,1/11,0.025017231520203,0.0650448019525279,0.085124262273354,0.2575957713514395,-3.2984408079877383,12.165277824372632,Fas2
Allele_LoF_Phenotypes_from_FlyBase_2017,neuroblast NB7-1,1/5,0.0114483611573847,0.0620500105433928,0.0434529625194811,0.2575957713514395,-2.6660699892631987,11.917089412050492,SoxN
Allele_LoF_Phenotypes_from_FlyBase_2017,embryonic central brain,1/5,0.0114483611573847,0.0620500105433928,0.0434529625194811,0.2575957713514395,-2.658861458297022,11.884867936845632,fkh
Allele_LoF_Phenotypes_from_FlyBase_2017,U neuron,1/10,0.0227684746329305,0.0650448019525279,0.0782998271957656,0.2575957713514395,-3.1267902240823693,11.826703777884518,SoxN
Allele_LoF_Phenotypes_from_FlyBase_2017,germarium cap cell,1/8,0.0182557286992226,0.0634677993330276,0.0645069697911918,0.2575957713514395,-2.818102731476128,11.281644008004992,pyd
Allele_LoF_Phenotypes_from_FlyBase_2017,ganglion mother cell,1/11,0.025017231520203,0.0650448019525279,0.085124262273354,0.2575957713514395,-3.028782357165012,11.170726106480902,SoxN
Allele_LoF_Phenotypes_from_FlyBase_2017,dMP2 neuron,1/12,0.0272609259183876,0.0655289140038619,0.0919011195897282,0.2575957713514395,-3.0912385678578143,11.135571435228286,Fas2
Allele_LoF_Phenotypes_from_FlyBase_2017,neuroanatomy defective,8/493,1.47484670281e-05,0.0030676811418515,0.0175726501555528,0.2575957713514395,-0.9962987338667846,11.08319715171928,fkh;SoxN;Mmp2;ninaE;Fas3;Cbp53E;Fas2;Nlg3
Allele_LoF_Phenotypes_from_FlyBase_2017,neuroblast NB5-2,1/6,0.013722598485558,0.0620500105433928,0.0505200201628077,0.2575957713514395,-2.5428605291528683,10.905594636436671,SoxN
Allele_LoF_Phenotypes_from_FlyBase_2017,endocytosis defective,1/12,0.0272609259183876,0.0655289140038619,0.0919011195897282,0.2575957713514395,-2.944172382670202,10.605794785864711,Nlg3
Allele_LoF_Phenotypes_from_FlyBase_2017,embryonic/larval transverse connective,1/8,0.0182557286992226,0.0634677993330276,0.0645069697911918,0.2575957713514395,-2.5654215675185013,10.27009148103054,Mmp2
Allele_LoF_Phenotypes_from_FlyBase_2017,cell shape defective,2/41,0.004008234568511,0.0378960359204682,0.0386629952250194,0.2575957713514395,-1.8580447412735848,10.255300305210396,Mmp2;pyd
Allele_LoF_Phenotypes_from_FlyBase_2017,dorsal air sac primordium,1/10,0.0227684746329305,0.0650448019525279,0.0782998271957656,0.2575957713514395,-2.678839792832013,10.132385746322823,Mmp2
Allele_LoF_Phenotypes_from_FlyBase_2017,rhabdomere of eye photoreceptor cell,1/14,0.0317331718056008,0.068046389026443,0.1053133434462552,0.2575957713514395,-2.8932941798121474,9.98300116334286,ninaE
Allele_LoF_Phenotypes_from_FlyBase_2017,third instar larval stage,5/295,0.0005639077698269,0.0084366288297708,0.059176809108382,0.2575957713514395,-1.3252816003777086,9.91392784465593,Mmp2;ninaE;Cbp53E;Fas2;Nlg3
Allele_LoF_Phenotypes_from_FlyBase_2017,external sensory organ precursor cell,1/11,0.025017231520203,0.0650448019525279,0.085124262273354,0.2575957713514395,-2.663367949147876,9.823008183578692,Fas2
Allele_LoF_Phenotypes_from_FlyBase_2017,eye photoreceptor cell,4/124,0.0001877906057755,0.0043400495557006,0.0122366186651287,0.231383334758799,-1.1342515003452005,9.73208545792746,scrt;Fas2;Arr2;Arr1
Allele_LoF_Phenotypes_from_FlyBase_2017,abdominal 2 ventral denticle belt,1/12,0.0272609259183876,0.0655289140038619,0.0919011195897282,0.2575957713514395,-2.673918552400732,9.632259173343146,nkd
Allele_LoF_Phenotypes_from_FlyBase_2017,neuroblast NB4-2,1/7,0.0159917172451447,0.0634677993330276,0.0575379156659544,0.2575957713514395,-2.307211832478706,9.541899897616888,SoxN
Allele_LoF_Phenotypes_from_FlyBase_2017,GO0061176:type Ib terminal bouton,1/9,0.0205146440903754,0.0646522116787589,0.0714275013461394,0.2575957713514395,-2.4099322429537398,9.366481942153811,Cbp53E
Allele_LoF_Phenotypes_from_FlyBase_2017,dendritic arborizing neuron,1/12,0.0272609259183876,0.0655289140038619,0.0919011195897282,0.2575957713514395,-2.586570458606164,9.317605057580582,Mmp2
Allele_LoF_Phenotypes_from_FlyBase_2017,follicle stem cell,1/14,0.0317331718056008,0.068046389026443,0.1053133434462552,0.2575957713514395,-2.6646681354296957,9.194151525111922,Mmp2
Allele_LoF_Phenotypes_from_FlyBase_2017,GO0016028:rhabdomere,3/72,0.0006076904225904,0.0084366288297708,0.0161651613277409,0.2575957713514395,-1.228789643825117,9.100225614020797,ninaE;Arr2;Arr1
Allele_LoF_Phenotypes_from_FlyBase_2017,uncoordinated,2/52,0.0063784627303877,0.0576834890400282,0.058440168343129,0.2575957713514395,-1.7837425897532726,9.016512276459286,scrt;Fas2
Allele_LoF_Phenotypes_from_FlyBase_2017,germarium region 2b,1/5,0.0114483611573847,0.0620500105433928,0.0434529625194811,0.2575957713514395,-2.0093862281228145,8.981772961819448,Mmp2
Allele_LoF_Phenotypes_from_FlyBase_2017,EL neuron,1/13,0.0294995689758118,0.067427586230427,0.0986307102466639,0.2575957713514395,-2.536718509792616,8.937822316158615,SoxN
Allele_LoF_Phenotypes_from_FlyBase_2017,postvertical bristle,1/11,0.025017231520203,0.0650448019525279,0.085124262273354,0.2575957713514395,-2.423201574413944,8.93722885850022,Fas2
Allele_LoF_Phenotypes_from_FlyBase_2017,GO0030175:filopodium,1/11,0.025017231520203,0.0650448019525279,0.085124262273354,0.2575957713514395,-2.3887591802913017,8.810198750085421,Mmp2
Allele_LoF_Phenotypes_from_FlyBase_2017,abdominal 3 ventral denticle belt,1/13,0.0294995689758118,0.067427586230427,0.0986307102466639,0.2575957713514395,-2.4874625685316314,8.76427493622413,nkd
Allele_LoF_Phenotypes_from_FlyBase_2017,embryonic/larval neuron,1/11,0.025017231520203,0.0650448019525279,0.085124262273354,0.2575957713514395,-2.3665473509666315,8.72827729372101,SoxN
Allele_LoF_Phenotypes_from_FlyBase_2017,Keilin's organ,1/11,0.025017231520203,0.0650448019525279,0.085124262273354,0.2575957713514395,-2.345526497177376,8.650748381929558,nkd
Allele_LoF_Phenotypes_from_FlyBase_2017,dorsal branch primordium,1/12,0.0272609259183876,0.0655289140038619,0.0919011195897282,0.2575957713514395,-2.401201685864064,8.649850963091298,pyd
Allele_LoF_Phenotypes_from_FlyBase_2017,crossvein,1/17,0.038403849812552,0.0697843278782876,0.1250825620504586,0.2575957713514395,-2.572512144803398,8.385354333111561,Bx
Allele_LoF_Phenotypes_from_FlyBase_2017,male genitalia,1/16,0.0361853011647449,0.0697843278782876,0.1185389648458919,0.2575957713514395,-2.494107709475064,8.278198604493076,Fas2
Allele_LoF_Phenotypes_from_FlyBase_2017,embryonic leading edge cell,1/17,0.038403849812552,0.0697843278782876,0.1250825620504586,0.2575957713514395,-2.490820847812412,8.119073580041213,pyd
Allele_LoF_Phenotypes_from_FlyBase_2017,abdominal 1 ventral denticle belt,1/14,0.0317331718056008,0.068046389026443,0.1053133434462552,0.2575957713514395,-2.3376802566319776,8.065914929879641,nkd
Allele_LoF_Phenotypes_from_FlyBase_2017,embryonic gnathal segment,1/8,0.0182557286992226,0.0634677993330276,0.0645069697911918,0.2575957713514395,-1.9561379701868096,7.830960867288741,nkd
Allele_LoF_Phenotypes_from_FlyBase_2017,abdominal 6 ventral denticle belt,1/15,0.0339617455140866,0.0697843278782876,0.1119493265005438,0.2575957713514395,-2.3132798892396425,7.82471669325663,nkd
Allele_LoF_Phenotypes_from_FlyBase_2017,wing sensillum,1/17,0.038403849812552,0.0697843278782876,0.1250825620504586,0.2575957713514395,-2.357429678343788,7.684272048331425,pyd
Allele_LoF_Phenotypes_from_FlyBase_2017,terminal tracheal cell,1/17,0.038403849812552,0.0697843278782876,0.1250825620504586,0.2575957713514395,-2.3313059776613185,7.599119297096739,pyd
Allele_LoF_Phenotypes_from_FlyBase_2017,behavior defective,3/101,0.00162084045923,0.0198314597364617,0.0381799750916539,0.2575957713514395,-1.1607272547068288,7.457452609888421,scrt;ninaE;Fas3
Allele_LoF_Phenotypes_from_FlyBase_2017,embryonic/larval dorsal branch,1/18,0.0406174024769944,0.0715967772475834,0.1315804198242853,0.2631608396485707,-2.2962966676145147,7.356321102499471,pyd
Allele_LoF_Phenotypes_from_FlyBase_2017,abdominal 7 ventral denticle belt,1/16,0.0361853011647449,0.0697843278782876,0.1185389648458919,0.2575957713514395,-2.186057717747605,7.255749172199282,nkd
Allele_LoF_Phenotypes_from_FlyBase_2017,anterior embryonic/larval midgut,1/8,0.0182557286992226,0.0634677993330276,0.0645069697911918,0.2575957713514395,-1.8120663510858324,7.25420236228465,fkh
Allele_LoF_Phenotypes_from_FlyBase_2017,hemocyte,1/19,0.0428259701600038,0.0742316816106733,0.138032838033989,0.2662041322725996,-2.286098700122944,7.202606753751974,fkh
Allele_LoF_Phenotypes_from_FlyBase_2017,embryonic stage 14,1/16,0.0361853011647449,0.0697843278782876,0.1185389648458919,0.2575957713514395,-2.1429607354127787,7.112705879535266,Fas2
Allele_LoF_Phenotypes_from_FlyBase_2017,recessive,9/1313,0.0026654584479729,0.0291797556409665,0.731280429982916,0.7348131856833165,-1.197768502017889,7.099628118036105,fkh;mbl;nkd;scrt;ninaE;Fas3;pyd;Fas2;Hr38
Allele_LoF_Phenotypes_from_FlyBase_2017,external sensory organ,1/19,0.0428259701600038,0.0742316816106733,0.138032838033989,0.2662041322725996,-2.2386200565683003,7.053020036998553,fkh
Allele_LoF_Phenotypes_from_FlyBase_2017,abdominal 4 ventral denticle belt,1/17,0.038403849812552,0.0697843278782876,0.1250825620504586,0.2575957713514395,-2.1587303958858266,7.036592350293554,nkd
Allele_LoF_Phenotypes_from_FlyBase_2017,embryonic/larval foregut,1/6,0.013722598485558,0.0620500105433928,0.0505200201628077,0.2575957713514395,-1.6367889992114095,7.01971544492262,fkh
Allele_LoF_Phenotypes_from_FlyBase_2017,macrochaeta & adult thorax,1/5,0.0114483611573847,0.0620500105433928,0.0434529625194811,0.2575957713514395,-1.5608093081690375,6.976675089370596,pyd
Allele_LoF_Phenotypes_from_FlyBase_2017,salivary gland common duct primordium,1/8,0.0182557286992226,0.0634677993330276,0.0645069697911918,0.2575957713514395,-1.7396366732528787,6.964246346203625,fkh
Allele_LoF_Phenotypes_from_FlyBase_2017,abdominal 5 ventral denticle belt,1/17,0.038403849812552,0.0697843278782876,0.1250825620504586,0.2575957713514395,-2.1275267642801,6.934881068571348,nkd
Allele_LoF_Phenotypes_from_FlyBase_2017,embryonic brain,1/8,0.0182557286992226,0.0634677993330276,0.0645069697911918,0.2575957713514395,-1.7277942498516994,6.916837852711909,fkh
Allele_LoF_Phenotypes_from_FlyBase_2017,temperature conditional,1/13,0.0294995689758118,0.067427586230427,0.0986307102466639,0.2575957713514395,-1.948387229922908,6.864907870896212,ninaE
Allele_LoF_Phenotypes_from_FlyBase_2017,lobe system of adult mushroom body,1/6,0.013722598485558,0.0620500105433928,0.0505200201628077,0.2575957713514395,-1.5988021569037565,6.856800845802424,Fas2
Allele_LoF_Phenotypes_from_FlyBase_2017,ocellar bristle,1/15,0.0339617455140866,0.0697843278782876,0.1119493265005438,0.2575957713514395,-1.978769406811472,6.693228122374975,Fas2
Allele_LoF_Phenotypes_from_FlyBase_2017,dorsal trunk primordium,1/23,0.0516106102971977,0.0838672417329463,0.1633940484973215,0.2880166278596853,-2.222043380367239,6.586198800440718,Fas2
Allele_LoF_Phenotypes_from_FlyBase_2017,pCC neuron,1/18,0.0406174024769944,0.0715967772475834,0.1315804198242853,0.2631608396485707,-2.005696866466942,6.4253675895177125,SoxN
Allele_LoF_Phenotypes_from_FlyBase_2017,retina,2/61,0.0086882462050956,0.0620500105433928,0.076739519654459,0.2575957713514395,-1.3457305505052457,6.386546753992498,ninaE;Arr2
Allele_LoF_Phenotypes_from_FlyBase_2017,longitudinal visceral muscle primordium,1/9,0.0205146440903754,0.0646522116787589,0.0714275013461394,0.2575957713514395,-1.6045822835289991,6.23639566104714,fkh
Allele_LoF_Phenotypes_from_FlyBase_2017,motor neuron,1/24,0.0537944172710228,0.0867382852121918,0.1696237029758232,0.2964851278905146,-2.12832634004504,6.220215882432751,Fas2
Allele_LoF_Phenotypes_from_FlyBase_2017,neurophysiology defective,4/231,0.0019346064313594,0.0223554520957086,0.0864732579705751,0.2575957713514395,-0.9873530658961605,6.168835203294607,ninaE;Fas2;Arr2;Nlg3
Allele_LoF_Phenotypes_from_FlyBase_2017,midgut constriction,1/17,0.038403849812552,0.0697843278782876,0.1250825620504586,0.2575957713514395,-1.8704741635495687,6.096993036156213,SoxN
Allele_LoF_Phenotypes_from_FlyBase_2017,anterior commissure,1/14,0.0317331718056008,0.068046389026443,0.1053133434462552,0.2575957713514395,-1.7668222148239705,6.096230500540702,SoxN
Allele_LoF_Phenotypes_from_FlyBase_2017,supernumerary,3/188,0.0092242311463526,0.0620500105433928,0.1611476630740998,0.2880166278596853,-1.2964248536932046,6.074945013507254,Mmp2;pyd;Fas2
Allele_LoF_Phenotypes_from_FlyBase_2017,anterior midgut primordium,1/9,0.0205146440903754,0.0646522116787589,0.0714275013461394,0.2575957713514395,-1.533961626215996,5.961920263077216,fkh
Allele_LoF_Phenotypes_from_FlyBase_2017,embryonic neuroblast,1/20,0.0450295638444688,0.0767717154069633,0.1444401147079841,0.273123125993279,-1.9160367226021813,5.940549290715135,SoxN
