gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,log2FC,significant
Dmel_CG11347 TP53INP Gene Expression,16417.18873396937,0.8410062815901234,0.17936624945432594,4.688765496009763,2.74858144152963e-06,0.0005890471798859094,Cocaine_vs_Sucrose_Male,0.8410062815901234,False
Dmel_CG3450 ubl Gene Expression,780.1295197413413,0.8661059928262226,0.18514291953093306,4.678040051547942,2.8962998296619434e-06,0.0005964378659943845,Cocaine_vs_Sucrose_Male,0.8661059928262226,False
Dmel_CG4871 SiaT Gene Expression,2147.6360239421474,0.9607973016495793,0.2054443967366152,4.676678054555779,2.915594501027988e-06,0.0005964378659943845,Cocaine_vs_Sucrose_Male,0.9607973016495793,False
Dmel_CG9659 egh Gene Expression,12059.247261577686,0.8486028891493742,0.18203902629130672,4.661653637893027,3.1367877273227003e-06,0.0006274272518584805,Cocaine_vs_Sucrose_Male,0.8486028891493742,False
Dmel_CG5907 Frq2 Gene Expression,7182.624824652217,0.9453221082805631,0.20394781766018782,4.635117546860111,3.5673470707977415e-06,0.0006980367605271842,Cocaine_vs_Sucrose_Male,0.9453221082805631,False
Dmel_CG12994 CG12994 Gene Expression,1382.2466997194779,0.8099719165619607,0.1757663311006592,4.60823134607105,4.06108662754944e-06,0.0007777412922249469,Cocaine_vs_Sucrose_Male,0.8099719165619607,False
Dmel_CG9258 nrv1 Gene Expression,189.89905730874673,-1.28168800773328,0.27859849396372904,-4.600484336789502,4.215097164570678e-06,0.000790418532881264,Cocaine_vs_Sucrose_Male,-1.28168800773328,True
Dmel_CG31690 Tmtc1 Gene Expression,4976.972633730483,0.8633313452750806,0.19054376598645392,4.53088213516498,5.8737904003787765e-06,0.0010406778402559326,Cocaine_vs_Sucrose_Male,0.8633313452750806,False
Dmel_CG42666 prage Gene Expression,427.3410951275329,1.0029895279489125,0.22140725362410374,4.530066253618536,5.896519259310361e-06,0.0010406778402559326,Cocaine_vs_Sucrose_Male,1.0029895279489125,True
Dmel_CG3961 CG3961 Gene Expression,2604.8764309761164,0.8498886047822716,0.18727699804601872,4.538136629963667,5.67534863592557e-06,0.0010406778402559326,Cocaine_vs_Sucrose_Male,0.8498886047822716,False
