gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,log2FC,significant
Dmel_CG4005 yki Gene Expression,656.0149340211162,1.3997159089806241,0.23931351968361983,5.848879373096404,4.948958099331039e-09,1.2118073790445308e-06,Cocaine_vs_Sucrose_Female,1.3997159089806241,True
Dmel_CG34186 Polr2K Gene Expression,1527.4023842796578,1.2157548115611196,0.20854434415616563,5.829718453791862,5.552097038818991e-09,1.2879404051891949e-06,Cocaine_vs_Sucrose_Female,1.2157548115611196,True
Dmel_CG14701 Dph3 Gene Expression,265.66986318436113,2.532087910056829,0.43431354468646644,5.830091971653241,5.539683498631388e-09,1.2879404051891949e-06,Cocaine_vs_Sucrose_Female,2.532087910056829,True
Dmel_CG32549 Nt5b Gene Expression,1244.9215704806202,0.999235125353055,0.17154979212437896,5.824752761160901,5.719721096897391e-09,1.2928036274141153e-06,Cocaine_vs_Sucrose_Female,0.999235125353055,False
Dmel_CG15456 CG15456 Gene Expression,630.9526004364545,1.3607893106731825,0.2355160571450552,5.77790460306096,7.563667050351053e-09,1.6668431262211133e-06,Cocaine_vs_Sucrose_Female,1.3607893106731825,True
Dmel_CG5830 hzg Gene Expression,1699.3998926211991,0.9767136368937487,0.1691684391865455,5.773616175631357,7.758806678089881e-09,1.6681434357893245e-06,Cocaine_vs_Sucrose_Female,0.9767136368937487,False
Dmel_CG31687 CG31687 Gene Expression,232.64377121740426,2.28217786662595,0.396675865253545,5.753256163359574,8.754068085243528e-09,1.837312146938612e-06,Cocaine_vs_Sucrose_Female,2.28217786662595,True
Dmel_CG8649 Fim Gene Expression,11250.214917579682,0.8761826269760543,0.15281496670953595,5.733617889937864,9.831067762544948e-09,2.0130655765021727e-06,Cocaine_vs_Sucrose_Female,0.8761826269760543,False
Dmel_CG32085 CG32085 Gene Expression,1159.3864956645689,1.2463578745619044,0.2175177560335485,5.7299132599072715,1.0048200268416971e-08,2.0130655765021727e-06,Cocaine_vs_Sucrose_Female,1.2463578745619044,True
Dmel_CG30446 Tdc2 Gene Expression,380.7395469190957,1.2930130508848992,0.22676307865075535,5.702043994897015,1.1837926352581064e-08,2.3189182399556015e-06,Cocaine_vs_Sucrose_Female,1.2930130508848992,True
Dmel_CG3606 caz Gene Expression,830.0868990792787,1.5932894434167262,0.2810316496322662,5.6694306335303075,1.4327284189301765e-08,2.7455436984498924e-06,Cocaine_vs_Sucrose_Female,1.5932894434167262,True
Dmel_CG3711 Lztr1 Gene Expression,1275.6950413752734,0.9247204136065897,0.16354691414645772,5.6541599603554396,1.5661031018094173e-08,2.9372763494574493e-06,Cocaine_vs_Sucrose_Female,0.9247204136065897,False
Dmel_CG6869 FucTA Gene Expression,1091.0049414840178,1.0098196015814782,0.18009092010450248,5.607276596707396,2.0553505318817564e-08,3.774565612195351e-06,Cocaine_vs_Sucrose_Female,1.0098196015814782,True
Dmel_CG12994 CG12994 Gene Expression,1382.2466997194779,0.9885691219772846,0.17675955894634163,5.592733586065247,2.2352213505629617e-08,4.021117592900512e-06,Cocaine_vs_Sucrose_Female,0.9885691219772846,False
Dmel_CG5282 CG5282 Gene Expression,2123.4637087089523,1.1001525896620905,0.19726128401030268,5.577133876937712,2.4451369147995076e-08,4.3107763807915326e-06,Cocaine_vs_Sucrose_Female,1.1001525896620905,True
Dmel_CR45333 lncRNA:CR45333 Gene Expression,515.1398958501802,3.2934055474596224,0.595991844849499,5.525923845973563,3.277562870087096e-08,5.556099365349568e-06,Cocaine_vs_Sucrose_Female,3.2934055474596224,True
Dmel_CG15667 Sara Gene Expression,1136.0835871943295,1.0404483448294204,0.18827869619962784,5.526107657587853,3.2741326634370304e-08,5.556099365349568e-06,Cocaine_vs_Sucrose_Female,1.0404483448294204,True
Dmel_CG10798 Myc Gene Expression,2333.530107084255,1.2151392765777875,0.22073066510518963,5.505076859160962,3.690072450360457e-08,6.1373563490429105e-06,Cocaine_vs_Sucrose_Female,1.2151392765777875,True
Dmel_CG32683 CG32683 Gene Expression,2959.6632084321045,0.9556621944362349,0.17431211536082378,5.482477178697687,4.1941111821058117e-08,6.846498161159765e-06,Cocaine_vs_Sucrose_Female,0.9556621944362349,False
Dmel_CG44835 rg Gene Expression,452.77722342301274,1.2091704095773146,0.22101622855311032,5.4709575739898675,4.476104516187281e-08,7.17397478367107e-06,Cocaine_vs_Sucrose_Female,1.2091704095773146,True
Dmel_CG6999 CG6999 Gene Expression,789.6026157262414,-0.9402058570218357,0.172165902000776,-5.461045689625568,4.733381987382531e-08,7.434128371632588e-06,Cocaine_vs_Sucrose_Female,-0.9402058570218357,False
Dmel_CG9390 AcCoAS Gene Expression,3415.833155840496,1.0908329366976757,0.19984840081474434,5.458302054209867,4.8070937854005395e-08,7.434128371632588e-06,Cocaine_vs_Sucrose_Female,1.0908329366976757,True
